题号    答案           四则运算式子
7564     1/3*****      4 － (4 ÷ 6 ＋ 3) ＝ 
7565     31******      (9 － 4) × (6 ＋ 1/5) ＝ 
7566     10'13/14      9 ＋ 6 ÷ 4/9 ÷ 7 ＝ 
7567     10'1/3**      2'1/3 ＋ (1 ＋ 7 ＋ 0) ＝ 
7568     6*******      (2 ＋ 1/4) ÷ (3 ÷ 8) ＝ 
7569     7/19****      7 ÷ ((1'1/3 ＋ 5) × 3) ＝ 
7570     1*******      1 × (4 － 2) － 1 ＝ 
7571     1/2*****      1 × (5 ÷ (4 ＋ 6)) ＝ 
7572     1'1/4***      5 ÷ (7 － (1 ＋ 2)) ＝ 
7573     8*******      7 － (0 ＋ 1) ＋ 2 ＝ 
7574     1*******      (7 ＋ (5 － 3)) ÷ 9 ＝ 
7575     7'8/9***      5 － 1 ÷ 9 ＋ 3 ＝ 
7576     37'1/7**      1'1/7 ＋ (7 × 6 － 6) ＝ 
7577     2'5/8***      4 － 2'1/2 ＋ 4'1/2 ÷ 4 ＝ 
7578     14'7/9**      7 ＋ (8 － 1 ÷ 4'1/2) ＝ 
7579     105*****      7 × (8 ＋ 5 ＋ 2) ＝ 
7580     19******      6 ＋ (9 ＋ 4) × 1 ＝ 
7581     4/7*****      1 × (2 ÷ 1 － 1'3/7) ＝ 
7582     441*****      7 × 9 × (6 ＋ 1) ＝ 
7583     1/13****      1 ÷ (6 ＋ 1 × 7) ＝ 
7584     49/72***      1'1/6 ÷ 1 ÷ (6 ÷ 3'1/2) ＝ 
7585     16'1/2**      (2'1/4 ＋ 6) × (5 － 3) ＝ 
7586     3'1/4***      4 － (1 ＋ 2) ÷ 4 ＝ 
7587     960*****      4 × 8 × (5 × 6) ＝ 
7588     41'1/7**      (1'2/7 ＋ 9) × 4 × 1 ＝ 
7589     100*****      8 × (5 × 2'1/2) ÷ 1 ＝ 
7590     20'4/7**      9 × (4/7 × 4 ÷ 1) ＝ 
7591     35******      8 × 5 － (5 ＋ 0) ＝ 
7592     9/11****      3 × 3 ÷ (8 ＋ 3) ＝ 
7593     1'7/8***      (8 － 3) ÷ (8 ÷ 3) ＝ 
7594     8'1/2***      1 － 1/2 ＋ 8 × 1 ＝ 
7595     13******      1 × (3 × 4) ＋ 1 ＝ 
7596     9'1/4***      4 ＋ 4 ＋ 5/8 × 2 ＝ 
7597     5'35/72*      3/8 ＋ 5 ＋ 1/9 － 0 ＝ 
7598     1/5*****      (9 － 2 － 6) × 1/5 ＝ 
7599     21******      (1 ＋ 2) × (1 ＋ 6) ＝ 
7600     6*******      2 ÷ 1/7 － 1 － 7 ＝ 
7601     10'1/2**      7 ＋ 7 × (2 － 1'1/2) ＝ 
7602     0*******      (9 － 9) × 9 ÷ 4 ＝ 
7603     6'1/4***      7 － (6 － 3 － 2'1/4) ＝ 
7604     0*******      (6 － 6) ÷ (2 ＋ 1) ＝ 
7605     85******      5 × (2 × 4 ＋ 9) ＝ 
7606     6/49****      6 ÷ (7 × 7) － 0 ＝ 
7607     0*******      4 × (7 ＋ 2 － 9) ＝ 
7608     46'1/7**      1'1/7 ＋ 9 ÷ 1 × 5 ＝ 
7609     112*****      (8 ＋ 8) × (7 ＋ 0) ＝ 
7610     12******      3 － 5 × 0 ＋ 9 ＝ 
7611     1/25****      (3 － 2) ÷ (5 ÷ 1/5) ＝ 
7612     12******      1 × 6 ＋ (3 ＋ 3) ＝ 
7613     7/12****      1/2 × (6 ÷ 4) ÷ 1'2/7 ＝ 
7614     3*******      3 ＋ 8 － 4 － 4 ＝ 
7615     1'1/8***      1 × 0 ＋ 9 ÷ 8 ＝ 
7616     16'1/2**      1 ÷ 2 ＋ (8 ＋ 8) ＝ 
7617     0*******      0 × (8 － 7 ÷ 5) ＝ 
7618     16******      8 － 0 ＋ (3 ＋ 5) ＝ 
7619     10******      7 － 1 ＋ (2 ＋ 2) ＝ 
7620     7'3/8***      (3 ÷ 8 ＋ 7) ÷ 1 ＝ 
7621     8'1/4***      2 ÷ 4 ÷ 2 ＋ 8 ＝ 
7622     3*******      (0 ÷ 8 ＋ 3) ÷ 1 ＝ 
7623     2*******      (9 － 5) ÷ (0 ＋ 2) ＝ 
7624     75******      8 ÷ 1/8 ＋ (9 ＋ 2) ＝ 
7625     36******      6 × ((0 ＋ 4) ÷ 2/3) ＝ 
7626     12'1/4**      5 ÷ 4 ＋ 2 ＋ 9 ＝ 
7627     19******      1 × (5 ＋ 2 × 7) ＝ 
7628     4'1/42**      1/6 ÷ 7 ＋ 9 － 5 ＝ 
7629     8/17****      (8 ＋ 0) ÷ (9 ＋ 8) ＝ 
7630     72/73***      (1 ＋ 8) ÷ (1'1/8 ＋ 8) ＝ 
7631     1*******      9 － (4 ＋ 0) － 4 ＝ 
7632     10******      6 × 3 － (7 ＋ 1) ＝ 
7633     14******      3 ＋ (7 ＋ (9 － 5)) ＝ 
7634     2'6/13**      (1 ＋ 7) ÷ (2 ＋ 1'1/4) ＝ 
7635     12'3/8**      2'1/2 × (7 ÷ 4) ＋ 8 ＝ 
7636     1/3*****      4 ÷ (1 × (4 ＋ 8)) ＝ 
7637     9'2/9***      1 × (5 ÷ 1/2 － 7/9) ＝ 
7638     40******      1'1/2 × (7 × 4) － 2 ＝ 
7639     0*******      0 × (1 ÷ (1'2/3 ÷ 9)) ＝ 
7640     1'3/5***      (2 ＋ 5) ÷ (7/8 × 5) ＝ 
7641     18'2/7**      1'2/7 ＋ (1 ＋ 2'2/3 × 6) ＝ 
7642     27******      1 × (3 × (8 ＋ 1)) ＝ 
7643     15******      3 ＋ (5 ＋ 5 ＋ 2) ＝ 
7644     20******      (5 － 0) ÷ (2 ÷ 8) ＝ 
7645     12******      8 × 1 ÷ (2 ÷ 3) ＝ 
7646     46'2/7**      1'2/7 × 3 × 3 × 4 ＝ 
7647     4'3/5***      7 － 6 ＋ (1'3/5 ＋ 2) ＝ 
7648     0*******      2 × 1/3 × (0 × 8) ＝ 
7649     7'4/9***      5 ＋ (1'1/3 ＋ (1/9 ＋ 1)) ＝ 
7650     7'4/5***      2 × (1/5 × 2) ＋ 7 ＝ 
7651     1*******      3 ÷ 6 × (2 × 1) ＝ 
7652     2*******      9 ÷ (2 ＋ (1'1/2 ＋ 1)) ＝ 
7653     6'7/64**      2 ＋ 4 ＋ 7/8 ÷ 8 ＝ 
7654     69******      9 × (2/3 ＋ 7 ÷ 1) ＝ 
7655     9*******      5 ＋ 1 ＋ (0 ＋ 3) ＝ 
7656     15******      8 × 2 － (1 ＋ 0) ＝ 
7657     10******      (8 ＋ 8 ÷ 4) × 1 ＝ 
7658     1'14/67*      (1 ＋ 8) ÷ (4/9 ＋ 7) ＝ 
7659     6*******      3 ＋ 4 × 6 ÷ 8 ＝ 
7660     68'1/4**      (9 ＋ (3 － 2'1/4)) × 7 ＝ 
7661     1/4*****      3 × (1 ÷ (2 × 6)) ＝ 
7662     16******      7 × (5 ÷ 5) ＋ 9 ＝ 
7663     14******      2 × 8 ＋ 3 － 5 ＝ 
7664     4*******      1 × (1 × 2) ＋ 2 ＝ 
7665     25'1/3**      4 ＋ 8 ÷ 3 × 8 ＝ 
7666     11/16***      (1 ＋ (1/8 ＋ 3)) × 1/6 ＝ 
7667     17******      4 ＋ 1 ＋ (9 ＋ 3) ＝ 
7668     21******      0 ＋ (0 ＋ 6) ÷ 2/7 ＝ 
7669     17'3/4**      8 ＋ (9 ＋ 3 ÷ 4) ＝ 
7670     22******      7 ＋ 1 ＋ 7 × 2 ＝ 
7671     3'4/7***      5 ÷ 1'2/5 － 0 ＋ 0 ＝ 
7672     54******      9 × (3 ＋ (1 ＋ 2)) ＝ 
7673     9'1/2***      (6 － 2) ÷ 8 ＋ 9 ＝ 
7674     1'4/5***      (4/5 ＋ 6) × 1 － 5 ＝ 
7675     63'1/7**      1 ÷ 7 ＋ 7 × 9 ＝ 
7676     7/8*****      1 × 7/8 － (9 － 9) ＝ 
7677     3'9/10**      (9/10 ＋ (9 － 6)) × 1 ＝ 
7678     13******      8 － (7 － 6) ＋ 6 ＝ 
7679     4'4/5***      2 ＋ 4/5 ＋ 2 × 1 ＝ 
7680     6'51/56*      7 － 5 ÷ 7 ÷ 8 ＝ 
7681     14'29/32      2'1/4 × (6 ＋ 5 ÷ 8) ＝ 
7682     4'1/32**      (7 ＋ (1/8 ＋ 9)) ÷ 4 ＝ 
7683     1*******      4 ÷ 6 × (3 ÷ 2) ＝ 
7684     4/7*****      4 ÷ (4 ＋ 3) ＋ 0 ＝ 
7685     4'3/4***      3/4 ＋ (0 × 1/8 ＋ 4) ＝ 
7686     3'1/9***      7 × 4 ÷ (9 ÷ 1) ＝ 
7687     0*******      8 × (0 × (5 × 2)) ＝ 
7688     8/55****      2 ÷ (1'2/3 × (8 ＋ 1/4)) ＝ 
7689     11'3/7**      4 － 1 ÷ 1'3/4 ＋ 8 ＝ 
7690     1'53/63*      8 ÷ (6 ÷ (2/3 ＋ 5/7)) ＝ 
7691     12'5/6**      1 × (6 － 1'1/6) ＋ 8 ＝ 
7692     10/33***      2 ÷ (5 ＋ 8 ÷ 5) ＝ 
7693     3*******      (8 － (6 － 4)) ÷ 2 ＝ 
7694     12'3/5**      7 × (9 ÷ 5 ＋ 0) ＝ 
7695     1/4*****      6 × (0 ＋ 3/8) － 2 ＝ 
7696     9/28****      3 ÷ (5 ＋ 3'1/3 ＋ 1) ＝ 
7697     1'1/3***      3 － 5 ÷ 1 × 1/3 ＝ 
7698     2'14/27*      2 × ((7/9 ＋ 3) ÷ 3) ＝ 
7699     8'1/2***      4 ＋ (2 ＋ 1) ÷ 2/3 ＝ 
7700     8*******      9 ＋ 1 － 1 × 2 ＝ 
7701     6/35****      2/5 × ((8 － 5) ÷ 7) ＝ 
7702     8*******      (3 ＋ 9 － 3) × 8/9 ＝ 
7703     2'3/5***      9 － 7 ＋ 3 × 1/5 ＝ 
7704     21******      4 × 7 － (7 － 0) ＝ 
7705     3'7/15**      (1 ＋ 9) ÷ 6 ＋ 1'4/5 ＝ 
7706     6'1/18**      7 － (0 ＋ 1/2) － 4/9 ＝ 
7707     2'26/27*      (3 － (3 － 2'2/3)) ÷ 9/10 ＝ 
7708     2'2/5***      2 ÷ 1 × (1'1/5 × 1) ＝ 
7709     27******      0 ＋ (4 ＋ 5) × 3 ＝ 
7710     2*******      4 ÷ (0 ＋ 4 － 2) ＝ 
7711     21******      9 ＋ 7 ＋ (7 － 2) ＝ 
7712     63******      (2 ＋ 5 － 0) × 9 ＝ 
7713     4'3/4***      8 － 2'1/4 － (2 － 1) ＝ 
7714     4/11****      2 ÷ ((7 ＋ 4) ÷ 2) ＝ 
7715     1'4/5***      9 ÷ (9 － 1 － 3) ＝ 
7716     648*****      9 × (2 × 4 × 9) ＝ 
7717     0*******      1 － (1 － 0 × 6) ＝ 
7718     2'14/15*      (8 － 1/3 ＋ 7) ÷ 5 ＝ 
7719     2*******      2 ÷ (6 × 1 ÷ 6) ＝ 
7720     6'1/6***      1/6 ＋ 1 × (5 ＋ 1) ＝ 
7721     1'1/6***      7 × 1/6 － (0 － 0) ＝ 
7722     56******      (9 ＋ 3 － 5) × 8 ＝ 
7723     3'1/3***      2 × 2'1/2 － 5 ÷ 3 ＝ 
7724     72******      (5 ＋ 4) × (9 － 1) ＝ 
7725     23******      7 × 4 － 3 － 2 ＝ 
7726     1'2/5***      (0 ＋ 7) ÷ (5 ＋ 0) ＝ 
7727     13******      5 ＋ (0 ÷ 1 ＋ 8) ＝ 
7728     1'1/6***      7 ÷ (4 ÷ 2) ÷ 3 ＝ 
7729     25/47***      2'1/2 ÷ (5 － 3/7 × 7/10) ＝ 
7730     3'24/25*      4 － 1 ÷ 5 ÷ 5 ＝ 
7731     6*******      3 × 0 ＋ 7 － 1 ＝ 
7732     29******      2 ＋ 8 × 3 ＋ 3 ＝ 
7733     2'2/3***      2 × 4 ÷ (3 － 0) ＝ 
7734     0*******      (7 － 7) × (3 － 0) ＝ 
7735     4*******      1 × 8 － 1'1/3 × 3 ＝ 
7736     6'4/5***      1'1/5 × (1/3 × (8 ＋ 9)) ＝ 
7737     52******      7 × (4/7 × (4 ＋ 9)) ＝ 
7738     3/5*****      3/5 × 1 × 9 ÷ 9 ＝ 
7739     1*******      6 × 1 － (2 ＋ 3) ＝ 
7740     40******      (3 ＋ 2) × 1 × 8 ＝ 
7741     12******      1 × 4 ＋ 0 ＋ 8 ＝ 
7742     6*******      6 ＋ (7 ＋ 9) × 0 ＝ 
7743     6/7*****      3 × 4 ÷ (7 ＋ 7) ＝ 
7744     1/11****      3 ÷ (5 × 5 ＋ 8) ＝ 
7745     4*******      (6 － 1) ÷ (1 ＋ 1/4) ＝ 
7746     0*******      1'2/3 × (4 － 3) × 0 ＝ 
7747     1/2*****      4 × (1 × 1) ÷ 8 ＝ 
7748     3'3/5***      4 ÷ (1/3 ＋ 3) × 3 ＝ 
7749     3'4/5***      1 × (9 ÷ 2 － 7/10) ＝ 
7750     41******      9 ÷ 1/4 ＋ 5 × 1 ＝ 
7751     68'4/9**      8 × (9 ＋ 5/9 － 1) ＝ 
7752     0*******      (5 － (3 ＋ 2)) ÷ 8 ＝ 
7753     34******      (9 ＋ 8) × (5 － 3) ＝ 
7754     2/81****      2 ÷ 3 ÷ (9 × 3) ＝ 
7755     20/33***      4 ÷ (3 ＋ 2 ÷ 5/9) ＝ 
7756     24******      1 － 1 ＋ 3 × 8 ＝ 
7757     2'19/63*      1'3/7 × 8 ÷ 4 － 5/9 ＝ 
7758     84******      (4 ＋ 8) × 1 × 7 ＝ 
7759     1'1/2***      4 × 0 ＋ 3 × 1/2 ＝ 
7760     6'7/10**      1/2 ＋ 5 ＋ 6 ÷ 5 ＝ 
7761     9*******      4 ＋ 5 － (7 － 7) ＝ 
7762     48******      (4 ＋ (2 ＋ 0)) × 8 ＝ 
7763     45******      (2 ＋ 3) × 8 × 1'1/8 ＝ 
7764     15'3/7**      3 ÷ 7 ＋ 8 ＋ 7 ＝ 
7765     224*****      7 ÷ (0 ＋ 1/4 ÷ 8) ＝ 
7766     4'1/3***      3 ÷ (9 ÷ 4) ＋ 3 ＝ 
7767     1*******      0 × (7 ＋ 1'3/5) ＋ 1 ＝ 
7768     17******      4 × 1 × 6 － 7 ＝ 
7769     2*******      2 － 5 × (4 － 4) ＝ 
7770     7'1/5***      (9 × 4/5 － 0) × 1 ＝ 
7771     90'1/7**      1/7 ＋ 5 × (9 × 2) ＝ 
7772     1'1/5***      6 ÷ (5 ÷ 1/3 ÷ 3) ＝ 
7773     1*******      8 × 0 ＋ (1 ＋ 0) ＝ 
7774     15******      3 ÷ 1 × (0 ＋ 5) ＝ 
7775     8*******      6 ÷ 1 ＋ 2 ÷ 1 ＝ 
7776     1*******      6 × 2/5 － (0 ＋ 1'2/5) ＝ 
7777     2*******      3 × 6 ÷ (9 ÷ 1) ＝ 
7778     60******      (5 ＋ 2'2/3 － 1) × 9 ＝ 
7779     12'5/36*      2'1/4 － 0 ＋ (9 ＋ 8/9) ＝ 
7780     0*******      4 × (0 × (2/3 － 0)) ＝ 
7781     24******      (1 ＋ 5) × (8 ÷ 2) ＝ 
7782     54******      (1 ＋ 5) × (5 ＋ 4) ＝ 
7783     12'3/4**      7 ÷ 4/9 － 3 ÷ 1 ＝ 
7784     0*******      9 × (2 × 6 × 0) ＝ 
7785     3'16/35*      8 － (3 ＋ 1'2/7 × 1'1/5) ＝ 
7786     2'5/8***      (6 ÷ 1'1/2 ＋ 1'1/4) ÷ 2 ＝ 
7787     9'4/7***      4 ÷ (0 ＋ 7) ＋ 9 ＝ 
7788     7/36****      7 ÷ (6 ÷ 1/3 × 2) ＝ 
7789     1'5/12**      1/2 ＋ 2 － (1/4 ＋ 5/6) ＝ 
7790     6*******      8 ＋ 0 ÷ 4 － 2 ＝ 
7791     36******      9 × (4 × (8 － 7)) ＝ 
7792     15******      9 ＋ 8 × 1 － 2 ＝ 
7793     108*****      9 × (6 ＋ 3 × 2) ＝ 
7794     117*****      9 × 9 ＋ 6 × 6 ＝ 
7795     1'5/8***      5 ÷ 2 － 7 ÷ 8 ＝ 
7796     8/11****      8 ÷ (1 ＋ 8 ＋ 2) ＝ 
7797     2'5/8***      7 － (3/8 ＋ (4 － 0)) ＝ 
7798     1'19/20*      3 × (1/4 ＋ 2 ÷ 5) ＝ 
7799     43'5/9**      8 × (1 ＋ 5/9 × 8) ＝ 
7800     5/6*****      9 ÷ (6 ÷ 1'1/9) ÷ 2 ＝ 
7801     10'2/3**      2 ÷ (3 ÷ (7 ＋ 9)) ＝ 
7802     13'1/2**      3 ＋ (8 ＋ 7 － 4'1/2) ＝ 
7803     9'4/5***      2 × (2'1/2 ＋ 3/5 × 4) ＝ 
7804     3'1/7***      1/7 ＋ 3 ＋ 0 × 2/3 ＝ 
7805     128*****      (9 ＋ 7) × (6 ＋ 2) ＝ 
7806     4'8/9***      5 × 7/9 ＋ 2 ÷ 2 ＝ 
7807     13******      1 ＋ 2 ÷ 1/2 × 3 ＝ 
7808     2'2/7***      (2 ＋ 6 ＋ 8) ÷ 7 ＝ 
7809     10******      8 ＋ (4 ＋ 6) ÷ 5 ＝ 
7810     702*****      (8 × 9 ＋ 6) × 9 ＝ 
7811     8'2/3***      9 － 4 ÷ (3 ＋ 9) ＝ 
7812     5*******      1 ＋ (4 － 7 × 0) ＝ 
7813     0*******      0 ÷ 1 ÷ 2 ÷ 1'1/3 ＝ 
7814     12******      6 ＋ (5 ＋ 1) ÷ 1 ＝ 
7815     8/9*****      1 ÷ (9 ÷ 8 ＋ 0) ＝ 
7816     0*******      1/9 × (9 － 9) × 2 ＝ 
7817     16******      8 ＋ 0 ÷ 5 ＋ 8 ＝ 
7818     41'3/7**      (1 ÷ 3'1/2 ＋ 8) × 5 ＝ 
7819     0*******      5 × 0 × (3 ÷ 8) ＝ 
7820     0*******      0 × (4 ÷ 5 ＋ 9) ＝ 
7821     11******      4 ＋ 7 － 0 ÷ 5 ＝ 
7822     0*******      (5 ＋ 1'2/3 × 4) × 0 ＝ 
7823     14******      4 ＋ (3 ＋ 6) ＋ 1 ＝ 
7824     2'8/11**      6 ÷ (3 ＋ 8) × 5 ＝ 
7825     16'4/5**      4/5 ＋ 9 ＋ (2 ＋ 5) ＝ 
7826     23'1/7**      3 × (9 － 1'2/7 － 0) ＝ 
7827     1'5/9***      2/9 × (8 ＋ 8 － 9) ＝ 
7828     2/5*****      5 ÷ 1 － (3 ＋ 1'3/5) ＝ 
7829     80******      6 × 8 ÷ (3 ÷ 5) ＝ 
7830     8'1/3***      (7 － 4 ＋ 2) ÷ 3/5 ＝ 
7831     2/45****      2 ÷ (5 × (1 ＋ 8)) ＝ 
7832     10'1/3**      6 ＋ 7 ÷ 3 ＋ 2 ＝ 
7833     3/4*****      6 ÷ (1 × (4 ＋ 4)) ＝ 
7834     1890****      6 × 9 × (7 × 5) ＝ 
7835     63******      (6 ＋ 1) × (7 ＋ 2) ＝ 
7836     2/21****      4 ÷ (6 ÷ 1) ÷ 7 ＝ 
7837     2'3/8***      (7 － 0 ＋ 2'1/2) ÷ 4 ＝ 
7838     0*******      (8 － 8) ÷ (0 ＋ 5) ＝ 
7839     5'1/6***      1 ÷ 6 ＋ 5 × 1 ＝ 
7840     8'1/2***      1 × (8 ＋ 9) ÷ 2 ＝ 
7841     53******      6 ＋ (7 × 8 － 9) ＝ 
7842     6*******      3 ＋ (7 ＋ 0 － 4) ＝ 
7843     49******      (1/8 ＋ 5 ＋ 1) × 8 ＝ 
7844     1*******      3 ÷ (9 ＋ 1 － 7) ＝ 
7845     1'1/48**      (7 ＋ 7/8 ÷ 6) ÷ 7 ＝ 
7846     1/18****      1 ÷ (0 ＋ 9 × 2) ＝ 
7847     0*******      1'1/9 ÷ 2 × (0 × 5) ＝ 
7848     1/8*****      0 ＋ 1 － 7 ÷ 8 ＝ 
7849     0*******      (8 － 8) ÷ (3 × 5) ＝ 
7850     18******      2 × 1'1/8 × (4 ＋ 4) ＝ 
7851     2'1/2***      1 ÷ 6 × (5 × 3) ＝ 
7852     92'5/9**      7 × (8 ＋ (6 － 7/9)) ＝ 
7853     33******      1 ＋ 4 × 8 ÷ 1 ＝ 
7854     2'6/7***      4 － (1'1/7 － 7 × 0) ＝ 
7855     33'4/9**      (7/9 ＋ 4) × (9 － 2) ＝ 
7856     2'1/4***      (5 ＋ 4) ÷ 4 ÷ 1 ＝ 
7857     3/5*****      8 ÷ 5 － 9 ÷ 9 ＝ 
7858     2'1/4***      (0 ＋ 8) ÷ (4/9 ÷ 1/8) ＝ 
7859     11'17/21      (1 ＋ 8 ÷ 6/7) × 1'1/7 ＝ 
7860     52'2/3**      5 × 2'1/3 ÷ 1/4 ＋ 6 ＝ 
7861     12******      (7 － 5) × (1 × 6) ＝ 
7862     1*******      7 ÷ 8 × (8 ÷ 7) ＝ 
7863     30******      (3 ＋ 3/4) × (8 ÷ 1) ＝ 
7864     1/3*****      (2 ＋ 1) ÷ 1 ÷ 9 ＝ 
7865     2'2/5***      (6 － (6 － 1'1/5)) × 2 ＝ 
7866     11'2/3**      8 ＋ (6 － 7 ÷ 3) ＝ 
7867     2'11/20*      7 ÷ 4/5 － (1/5 ＋ 6) ＝ 
7868     1/28****      3 ÷ ((9 ＋ 1/3) × 9) ＝ 
7869     12'2/5**      2 × (1/5 ＋ 9 － 3) ＝ 
7870     1*******      7 ＋ 1 － (7 － 0) ＝ 
7871     27******      6 × (4 ＋ 4'1/2 － 4) ＝ 
7872     11******      9 × 2 － 7 ＋ 0 ＝ 
7873     8*******      (2 ＋ 2) × (4 ÷ 2) ＝ 
7874     1/19****      3 ÷ (3 ＋ 6 × 9) ＝ 
7875     35******      7 × (1 × 1) × 5 ＝ 
7876     0*******      (1 ＋ 3 × 2) × 0 ＝ 
7877     288*****      (3 ＋ 1) × (9 × 8) ＝ 
7878     6'7/36**      7 ＋ 2/9 × 2 － 1'1/4 ＝ 
7879     0*******      0 ＋ 0 ÷ (3 － 0) ＝ 
7880     22******      7 ＋ (5 ＋ 4 ＋ 6) ＝ 
7881     17'1/2**      5 × (3 ＋ 2 ÷ 4) ＝ 
7882     25******      7 ÷ (2 ÷ 6) ＋ 4 ＝ 
7883     6'2/5***      8 × 9 ÷ 5 － 8 ＝ 
7884     0*******      1'1/4 × 2 × 0 × 6 ＝ 
7885     6'7/16**      7 ＋ 0 － 4'1/2 ÷ 8 ＝ 
7886     3/4*****      9 ÷ (4 ＋ 8 ÷ 1) ＝ 
7887     2/7*****      (7 ＋ 3) ÷ (7 × 5) ＝ 
7888     10'5/7**      8 ＋ 3 － 2 ÷ 7 ＝ 
7889     9*******      9 － 0 ＋ (5 － 5) ＝ 
7890     0*******      3 ÷ 8 × 0 × 7 ＝ 
7891     0*******      0 ÷ 3 ÷ 5 × 7 ＝ 
7892     25/27***      5 ÷ (3 × 9) × 5 ＝ 
7893     1'8/9***      3 － (2 － 8/9 ÷ 1) ＝ 
7894     20******      5 × (8 ÷ (6 － 4)) ＝ 
7895     8'8/9***      7 ＋ 4 － 3 ＋ 8/9 ＝ 
7896     1'1/4***      (1 ＋ 4) × (1 ÷ 4) ＝ 
7897     7'3/5***      2 ＋ 2 ＋ 9 ÷ 2'1/2 ＝ 
7898     3/4*****      3 － 1 × 1 － 1'1/4 ＝ 
7899     1/5*****      3 ÷ (7 － 1 ＋ 9) ＝ 
7900     16******      6 ＋ (3 ＋ 7 × 1) ＝ 
7901     1440****      8 × (6 × 6 × 5) ＝ 
7902     43'5/6**      3 ＋ 7 × 7 × 5/6 ＝ 
7903     18'2/3**      (8 ＋ 6) × (4 ÷ 3) ＝ 
7904     8'1/8***      1 ÷ 8 ＋ 8 ＋ 0 ＝ 
7905     12'11/20      8 ＋ (3 ＋ 1/4) ÷ 5/7 ＝ 
7906     6*******      6 ＋ (0 × 9 － 0) ＝ 
7907     35'1/3**      1'1/9 × 3 ＋ 8 × 4 ＝ 
7908     9'2/9***      9 ＋ 8 ÷ (4 × 9) ＝ 
7909     5'25/63*      5 ＋ 1/9 ＋ 2 ÷ 7 ＝ 
7910     16'1/2**      4'1/2 ÷ 9 ＋ (9 ＋ 7) ＝ 
7911     0*******      0 ÷ (3 － (2/3 － 1/8)) ＝ 
7912     4*******      (3 ÷ 1/8 ＋ 0) ÷ 6 ＝ 
7913     8*******      5 ＋ (2 ＋ (4 － 3)) ＝ 
7914     7'8/9***      7 ＋ (5 － 5) ＋ 8/9 ＝ 
7915     15'1/4**      1'1/4 ＋ 5 ＋ 5 ＋ 4 ＝ 
7916     8*******      2 ＋ 6 － (1 － 1) ＝ 
7917     43'8/9**      8/9 ＋ (9 × 5 － 2) ＝ 
7918     7*******      6 ＋ (4 － 1) － 2 ＝ 
7919     2*******      2 × (7 － 4 － 2) ＝ 
7920     31******      1 × (8 × 3) ＋ 7 ＝ 
7921     5'3/4***      3 ÷ 4 ＋ (1 ＋ 4) ＝ 
7922     14******      3 ＋ 4 ＋ 0 ＋ 7 ＝ 
7923     1/12****      3/4 ÷ (5 ＋ 1 ＋ 3) ＝ 
7924     6'4/9***      5 ＋ (4 ＋ 9) ÷ 9 ＝ 
7925     0*******      2 × 0 － 0 × 1 ＝ 
7926     6*******      (7 － 5) ÷ (2 ÷ 6) ＝ 
7927     17******      5 ＋ (9 － 5) ＋ 8 ＝ 
7928     3'5/9***      4 － 0 － 4 ÷ 9 ＝ 
7929     7/36****      (4 － 3) ÷ (4 × 1'2/7) ＝ 
7930     25******      1 × 5 ＋ 4 × 5 ＝ 
7931     3*******      (4 ＋ 4 － 7) × 3 ＝ 
7932     2/3*****      2 － (0 ＋ 4/9) × 3 ＝ 
7933     3'1/5***      (1 ＋ 9 × 1'2/3) ÷ 5 ＝ 
7934     9'1/4***      0 × 7 ＋ 9 ＋ 1/4 ＝ 
7935     6*******      (8 － (1 ＋ 4)) ÷ 1/2 ＝ 
7936     24******      8 × 2 ＋ 4 ＋ 4 ＝ 
7937     42******      8 ＋ 6 ＋ 7 × 4 ＝ 
7938     1'1/2***      6 × 4 ÷ (8 ＋ 8) ＝ 
7939     3/8*****      (5 － 1/2) ÷ (2 × 6) ＝ 
7940     17'3/10*      8 ＋ 9 ＋ 3/5 ÷ 2 ＝ 
7941     50******      (9 － 6 ÷ 9) × 6 ＝ 
7942     12'43/48      9 ＋ (4 － 5/8 ÷ 6) ＝ 
7943     0*******      5 × (0 ÷ (6 ÷ 2)) ＝ 
7944     11******      8 ＋ 2 ＋ (8 － 7) ＝ 
7945     144*****      (6 ＋ 9 ÷ 3/4) × 8 ＝ 
7946     8*******      7 － (9 － 8) ＋ 2 ＝ 
7947     13'4/25*      9 ÷ (5/8 ÷ 1'2/5) － 7 ＝ 
7948     22'2/3**      4 ＋ 2 ÷ 3/7 × 4 ＝ 
7949     8'1/18**      4'1/2 ＋ (8 ÷ 2'1/4 － 0) ＝ 
7950     204*****      (1/4 ＋ 4) × (8 × 6) ＝ 
7951     18******      3 × 7 － (4 － 1) ＝ 
7952     4/9*****      (7 － 7 ÷ 1'4/5) ÷ 7 ＝ 
7953     7'3/7***      1'3/7 ＋ 8 × (3 ÷ 4) ＝ 
7954     3/16****      (6 － 3) ÷ 8 ÷ 2 ＝ 
7955     0*******      0 × 4 － 0 ÷ 8 ＝ 
7956     1/9*****      (4 ＋ 6) ÷ 9 × 1/10 ＝ 
7957     8'2/3***      4 ÷ 1 ÷ 6 ＋ 8 ＝ 
7958     12******      (4 ＋ 8) ÷ 1 ÷ 1 ＝ 
7959     0*******      0 ÷ ((0 ＋ 2) × 9) ＝ 
7960     4*******      (9 ＋ 4) ÷ 1 － 9 ＝ 
7961     1'2/3***      3 － (1/3 ＋ 1 ÷ 1) ＝ 
